Date,Tiberias to the Canal,The lenticular
1/1/2018,0,8495458
2/1/2018,0,7009386
3/1/2018,2031277,6539579
4/1/2018,3018081,6738238
5/1/2018,6024342,6694848
6/1/2018,6020600,8679914
7/1/2018,6035299,9874774
8/1/2018,6960379,9708769
9/1/2018,6857734,7744407
10/1/2018,6218113,6562664
11/1/2018,4016364,6143251
12/1/2018,2335921,5507802
1/1/2019,0,8396554
2/1/2019,0,7075544
3/1/2019,0,8483039
4/1/2019,1866269,6192810
5/1/2019,5994721,6988782
6/1/2019,5994402,8558891
7/1/2019,6017523,10964646
8/1/2019,6000232,10840764
9/1/2019,5970778,8766531
10/1/2019,6000026,7313968
11/1/2019,5006438,6592990
12/1/2019,3994537,4538537
1/1/2020,2292604,6424684
2/1/2020,0,8521735
3/1/2020,2018156,7637782
4/1/2020,3847741,6769158
5/1/2020,6165884,7501027
6/1/2020,5995579,9816204
7/1/2020,6193382,10980562
8/1/2020,6001356,11220334
9/1/2020,5996627,10409630
10/1/2020,5996760,9300267
11/1/2020,6002034,5469868
12/1/2020,5019904,3258654
1/1/2021,5894320,3053203.2
2/1/2021,3994766,3427833.6
3/1/2021,3054904,5029948.8
4/1/2021,6148464,3927433.6
5/1/2021,7496362,5967043.2
6/1/2021,7013974,7036329.6
7/1/2021,8005675,8285846.4
8/1/2021,10360882,6822819.2
9/1/2021,10657446,4985904
10/1/2021,10552877,3728265.6
11/1/2021,10511251,1800748.8
12/1/2021,7998039,1610064
1/1/2022,5981294,2270938
2/1/2022,5994818,1867104
3/1/2022,6580596,2447885
4/1/2022,9633707,1991779
5/1/2022,10020601,4474931
6/1/2022,10010533,6259892
7/1/2022,10486758,7294182
8/1/2022,10510241,7795426
9/1/2022,10494919,5352281
10/1/2022,10502522,2977386
11/1/2022,8723297,1356048
12/1/2022,8351476,1654992
